,Titles,Links
0,Reds recover to win but suffer blow as Mac Allister faces ban,https://www.thesun.co.uk/sport/23540024/liverpool-vs-bournemouth-live-score-latest-updates-premier-league/
1,Mitoma scores stunning solo goal as Seagulls run riot at Molineux,https://www.thesun.co.uk/sport/23539385/wolves-vs-brighton-live-score-latest-updates-premier-league/
2,Mbeumo double seals all three points for Bees in West London derby,https://www.thesun.co.uk/sport/23540220/fulham-brentford-match-report-bryan-mbeumo/
3,Fans hail Dele Alli as former star returns to Spurs for Man Utd clash,https://www.thesun.co.uk/sport/23558188/tottenham-man-utd-dele-alli-fan-tribute/
4,Man Utd to DUMP Mason Greenwood from squad in dramatic U-turn after backlash,https://www.thesun.co.uk/sport/23555300/mason-greenwood-update-man-utd-dump-star/
5,Roy Keane claims Man Utd 'are new Spurs' & says Rashford 'looked like a child',https://www.thesun.co.uk/sport/23559175/roy-keane-man-utd-spurs-rashford/
6,Lineker blasts 'poor day for VAR' after red card as fans slam Szoboszlai 'dive',https://www.thesun.co.uk/sport/23558070/gary-lineker-var-mac-allister-red-card-szoboszlai-dive/
7,Get the best free spins bonuses with our guide to the top casino deals,https://www.thesun.co.uk/betting/22174907/free-spins-bonuses/
8,Onana shines as Mount goes missing AGAIN in crushing defeat to Spurs,https://www.thesun.co.uk/sport/23558587/man-utd-tottenham-player-ratings-onana-mount/
9,Watch Bruno Fernandes with the 'worst miss of the season' already vs Tottenham,https://www.thesun.co.uk/sport/23558484/bruno-fernandes-miss-tottenham-man-utd/
10,Fans fume as Alisson avoids red card after blunder vs Bournemouth,https://www.thesun.co.uk/sport/23557275/liverpool-alisson-blunder-karius-bournemouth/
11,Get £40 in free Bet Builder bets when you stake £10 on football with Paddy Power,https://www.thesun.co.uk/sport/football/19782139/paddy-power-free-bets-football/
12,Get £20 in free bets when you stake £5 on football with Ladbrokes,https://www.thesun.co.uk/sport/22580085/ladbrokes-free-bets-new-customer-bonus-football/
13,Get a brilliant £40 football welcome bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
14,"Gunners eye Cancelo, Simakan linked as Timber replacement, Balogun latest",https://www.thesun.co.uk/sport/23449626/arsenal-transfer-news-live-jurrien-timber-injury-balogun-latest/
15,"United 'to win' Sofyan Amrabat race, Pavard TWIST, takeover latest",https://www.thesun.co.uk/sport/23492765/man-utd-transfer-news-live-mason-greenwood-latest/
16,Man Utd star left out of squad for Tottenham clash as transfer talks continue,https://www.thesun.co.uk/sport/23558756/man-utd-van-de-beek-maguire-transfer-news/
17,Leeds fans taunt 'cry baby' Gnonto with hilarious banner after transfer request,https://www.thesun.co.uk/sport/23552634/leeds-fan-taunt-gnonto-banner-transfer-everton/
18,Newcastle blow with £12m target set to snub Toon for shock move,https://www.thesun.co.uk/sport/23559354/newcastle-transfer-news-benjamin-rollheiser/
19,Chelsea the latest London rival to eye £50m Balogun transfer from Arsenal,https://www.thesun.co.uk/sport/23554434/chelsea-arsenal-transfer-folarin-balogun-spurs-fulham-west-ham/
20,Man Utd face fight to keep Varane as star makes Saudi Arabia transfer decision,https://www.thesun.co.uk/sport/23554844/man-utd-varane-transfer-saudi-arabia/
21,"Win a VW Campervan + £1k or £47,500 cash from just 89p with our discount code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
22,"Nott'm Forest set to have to wait for Brazilian wonderkid, 19, as he targets title",https://www.thesun.co.uk/sport/23559322/nottingham-forest-matheus-nascimento-transfer-botafogo/
23,Liverpool send 'two officials to Bayern Munich' as they eye Gravenberch swoop,https://www.thesun.co.uk/sport/23556864/liverpool-bayern-munich-ryan-gravenberch-transfer/
24,Moment Celtic could have snapped up Moises Caicedo for just £1million,https://www.thesun.co.uk/sport/23555240/celtic-moises-caicedo-1m-neil-lennon-chelsea-ajeti-barkas/
25,Chesterfield keeper ATTACKED by fan after Oldham equaliser sparks pitch invasion,https://www.thesun.co.uk/sport/23557315/chesterfield-goalkeeper-attacked-oldham-fan-national-league/
26,Fans in disbelief as Mitoma turns into Maradona for stunning individual goal,https://www.thesun.co.uk/sport/23556959/mitoma-maradona-individual-goal-lineker-beauty/
27,Portsmouth clash SUSPENDED before FAN 'takes over as linesman',https://www.thesun.co.uk/sport/23557441/portsmouth-cheltenham-referee-tunnel-fan/
28,Paqueta WITHDRAWN from Brazil squad as West Ham star 'faces bets probe',https://www.thesun.co.uk/sport/23555436/lucas-paqueta-withdrawn-brazil-fa-investigation-betting/
29,Griffiths could face YEAR in jail after admitting booting flare into crowd,https://www.thesun.co.uk/sport/23555214/celtic-leigh-griffiths-year-prison-flare-crowd-return-australia/
30,I'm England's TikTok Queen & made my own clothes brand to take on Nike,https://www.thesun.co.uk/sport/23558030/england-tiktok-queen-nike-mary-earps/
31,Spain vs England - Women's World Cup final: Get £30 in free bets with Bet UK,https://www.thesun.co.uk/sport/20468877/football-sign-up-offer-free-bets-bet-uk/
32,England's Lionesses to become millionaires if they win World Cup - here's how,https://www.thesun.co.uk/sport/23552342/lionesses-millionaires-world-cup-win/
33,Fortune teller predicts if Lionesses will win the World Cup using asparagus,https://www.thesun.co.uk/sport/23553806/asparagus-fortune-teller-predicts-lionesses-win-world-cup/
34,I sold my home TWICE to pay for daughter's footy career - now she's a Lioness,https://www.thesun.co.uk/sport/23555092/georgia-stanway-england-world-cup-final-mum/
35,Seven controversial moments at the Women's World Cup including BBC apology,https://www.thesun.co.uk/sport/23546516/controversial-moments-womens-world-cup-bbc-apology/
36,I helped England to final but Nike refuse to sell my shirt - it hurts,https://www.thesun.co.uk/sport/23537874/england-womens-world-cup-final-spain-nike-mary-earps/
37,Bright vows England will play 'game of our lives' to secure World Cup glory,https://www.thesun.co.uk/sport/23556244/millie-bright-england-spain-womens-world-cup-final/
38,They refuse to be sex objects & are patriotic - why we love the Lionesses,https://www.thesun.co.uk/sport/23553465/sex-objects-patriotic-lionesses/
39,"To play in a World Cup final is a pinch-me moment, says Alessia Russo",https://www.thesun.co.uk/sport/23554397/england-lionesses-womens-world-cup-final-russo-spain/
40,Bayern fan suffers burns at Kane's debut after Ultras sneak flares in,https://www.thesun.co.uk/sport/23556418/bayern-munich-fan-flares-burn-harry-kane/
41,Fans fear Ramsey curse could strike again as ex-Arsenal star scores thunderbolt,https://www.thesun.co.uk/sport/23557354/aaron-ramsey-curse-arsenal-cardiff-goal/
42,Sir Alex Ferguson missed train to Man Utd match after watching horseracing,https://www.thesun.co.uk/sport/23557852/sir-alex-ferguson-man-utd-rene-muelensteen-missed-train/
43,Man Utd star's ex ‘preparing to report him to cops over domestic abuse claim',https://www.thesun.co.uk/sport/23554636/manchester-united-antony-gabriela-cavallin-police/
44,Lingard blow as Moyes issues transfer update after West Ham training return,https://www.thesun.co.uk/sport/23555116/jesse-lingard-transfer-david-moyes-west-ham-training/
45,Amazon Prime LEAK £100m Newcastle kit deal with new manufacturer,https://www.thesun.co.uk/sport/23558170/amazon-prime-leak-newcastle-kit-deal/
46,I'm a Prem legend worth £75m who became the first player-owner in history,https://www.thesun.co.uk/sport/23481529/drogba-chelsea-premier-league-beckham-mls/
47,I'm an ex-Utd boss & pulled off dressing-room stunt to help beat Fergie's boys,https://www.thesun.co.uk/sport/23556308/man-utd-alex-ferguson-atkinson-sheffiled-wednesday/
48,Watch Steven Gerrard dance in the changing room after second Saudi Pro League win,https://www.thesun.co.uk/sport/23556781/steven-gerrard-al-ettifaq-saudi-arabia-celebrations/
49,Oxlade-Chamberlain can't believe 'disgusting' old team-mate is a pro,https://www.thesun.co.uk/sport/23556164/arsenal-liverpool-oxlade-chamberlain-andy-robertson/
50,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
51,Check out all the best no deposit bonus sites and exactly how they work,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
52,Check out the best new online casinos including welcome offers and bonuses,https://www.thesun.co.uk/betting/21169900/new-casinos/
53,Guardiola takes bold approach with Ederson but will Newcastle fall for it?,https://www.thesun.co.uk/sport/23532658/pep-guardiola-tactics-ederson-man-city-newcastle/
54,Blues face Irons as both sides look for first win in tasty London derby,https://www.thesun.co.uk/sport/23527301/west-ham-vs-chelsea-live-stream-tv-channel-team-news/
55,Arsenal looking for consecutive wins as they face Palace in London derby,https://www.thesun.co.uk/sport/23418798/crystal-palace-vs-arsenal-stream-tv-channel-kick-off-time/
56,Watch Ronaldo fluff one-on-one in frustrating game as Al-Nassr lose AGAIN,https://www.thesun.co.uk/sport/23553479/cristiano-ronaldo-fluff-al-nassr-lose/
57,Man U blow as Fiorentina give Amrabat update after ' Klopp calls to hijack deal',https://www.thesun.co.uk/sport/23555395/man-utd-liverpool-jurgen-klopp-sofyan-amrabat/
58,Walcott reveals huge argument between Van Persie and Ramsey which Wenger IGNORED,https://www.thesun.co.uk/sport/23555286/theo-walcott-van-persie-ramsey-arsenal-wenger/
59,City line up £68m transfer for midfielder who demolished Harry Kane’s Bayern,https://www.thesun.co.uk/sport/23554569/man-city-transfer-leipzig-dani-olmo/
60,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
61,Supercomputer names best Kane replacement and predicts four Spurs alternatives,https://www.thesun.co.uk/sport/23549019/supercomputer-names-kane-replacement-orban-enciso-transfer/
62,"Newcastle talisman Bruno may be next £100m midfielder, not that he's for sale",https://www.thesun.co.uk/sport/23548851/newcastle-bruno-guimaraes-100m-transfer-rice-caicedo/
63,Man Utd ‘send scouts to watch Norwegian wonderkid’ who’s huge Red Devils fan,https://www.thesun.co.uk/sport/23557062/man-utd-scouts-wonderkid-norway-nypan/
64,Kane reveals difference between Bundesliga & Prem & why Bayern are perfect,https://www.thesun.co.uk/sport/23554534/harry-kane-premier-league-bayern/
65,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
66,Messi may face England for first time EVER as FA line up Argentina showdown,https://www.thesun.co.uk/sport/23555289/england-argetina-friendly-wembley-talks-lionel-messi/
67,Fans convinced Dyche is 'f***ing with us' as they spot odd coincidence,https://www.thesun.co.uk/sport/23557817/sean-dyche-everton-transfer-window/
68,Souness slams Boehly for ‘not understanding football’ after Caicedo & Lavia moves,https://www.thesun.co.uk/sport/23552575/souness-slams-boehly-chelsea-caicedo-lavia-transfers/
69,Forgotten Arsenal flop drops down a division on loan after nightmare spell,https://www.thesun.co.uk/sport/23550251/alex-runar-runarsson-arsenal-transfer-news-cardiff-city/
70,Glazers braced for another huge Man Utd fan revolt if they don’t sell club,https://www.thesun.co.uk/sport/football/23554470/glazers-man-utd-greenwood/
71,Tottenham ace Tanganga lined-up for shock loan move to Premier League rivals,https://www.thesun.co.uk/sport/23556572/tottenham-japhet-tanganga-transfer-premier-league-luton/
72,"West Ham vs Chelsea tips, odds & free bets as East meets West in London clash",https://www.thesun.co.uk/sport/23478864/west-ham-chelsea-betting-preview-tips/
73,Howe breaks silence on Tonali’s Spoons trip and says which ace has the blame,https://www.thesun.co.uk/sport/23550757/eddie-howe-sandro-tonali-wetherspoons-newcastle/
74,Kevin De Bruyne on crutches as he opens up on ‘really big blow’ after having surgery,https://www.thesun.co.uk/sport/23552209/kevin-de-bruyne-man-city-crutches-surgery-injury/
75,Chelsea fans lose their minds as legend RETURNS in Lavia announcement video,https://www.thesun.co.uk/sport/23546480/chelsea-transfer-romeo-lavia-eden-hazard/
76,David Raya makes Arsenal debut in behind-closed-doors friendly against Luton,https://www.thesun.co.uk/sport/23540710/david-raya-arsenal-friendly-luton-trossard/
77,Adams 'completes £20m Bournemouth' transfer days after Chelsea pulled plug,https://www.thesun.co.uk/sport/23554476/tyler-adams-bournemouth-transfer-leeds-usa/
78,Premier League XI of stars desperate for transfer before the window slams shut,https://www.thesun.co.uk/sport/23545072/premier-league-wantaway-xi/
79,'Sexiest Wag' called ‘fantastic’ as ex-Prem star’s wife stuns in bikini,https://www.thesun.co.uk/sport/23557097/viktoria-varga-instagram-sexiest-wag/
80,Toon-mad Davis dreaming of facing Newcastle in the big time with Ipswich,https://www.thesun.co.uk/sport/23548048/leif-davis-newcastle-ipswich-premier-league/
81,Heskey bags new career with England and could even work with his son,https://www.thesun.co.uk/sport/23555757/emile-heskey-england-u18s-son-coaching/
82,Austin out to turn back clock to 2014.. and score ANOTHER hat-trick past Foster,https://www.thesun.co.uk/sport/23551803/charlie-austin-ben-foster-swindon-wrexham/
83,"Ex-Arsenal star, 32, retires from football to focus on shock new business",https://www.thesun.co.uk/sport/23534655/henri-lansbury-retires-arsenal-monaco-lawn-fertiliser/
84,Poch’s Spurs were one of the best teams I faced.. but NOBODY is scared any more,https://www.thesun.co.uk/sport/23553613/troy-deeney-poch-spurs-best-team-nobody-scared-exclusive/
85,If Newcastle ever win the league then that will be the Prem’s darkest day,https://www.thesun.co.uk/sport/23490423/newcastle-premier-league-manchester-city-saudi-arabia/
86,"Ramsdale now has SERIOUS competition, don't bet against Raya bagging No1 spot",https://www.thesun.co.uk/sport/23505610/aaron-ramsdale-arsenal-david-raya/
87,Alan Shearer’s glamorous daughter Hollie wows fans in tiny crop top,https://www.thesun.co.uk/sport/23551493/alan-shearer-daughter-hollie-double-denim-crop-top/
88,World's sexiest ref shows off underboob but fans care more about socks,https://www.thesun.co.uk/sport/23534392/worlds-sexiest-ref-claudia-romani-underboob-beach-socks/
89,Man Utd star’s stunning Wag sends fans wild while trying on racy lingerie,https://www.thesun.co.uk/sport/23543037/man-utd-anthony-martial-wag-melanie-da-cruz-underwear/
